,Browser,OS,after,after_text,age,assess,before,before_text,comments,education,enjoyment,fairprice,gender,hasty_subject,how_did_it_go,in_between,is_valid,language,n_symptoms,negated_response,parse_error,parser_feedback,positive_response,problems,prompt,query_type,response,rt,screenH,screenW,secondary_response,secondary_response_type,session_index,start,time,time_in_minutes,trial_level,variable,workerid
13,Chrome,Windows,.,.,35,Yes,<span class='history'><span class='variable_word positive_nR'>{{}}</span>.<br/></span><span class='variable_word positive_nR'>{{}}</span> because ,"Because Jamie is able to walk around, go to work and go out to other places with ease.Because Jamie is able to walk around, go to work and go out to other places with ease because ",Good study!,2,1,1.50,Female,False,"It was interesting, fun and easy to to do.",NA,True,english,NA,<span class='variable_word name'>{{}}</span> isn't feeling great and not sick anymore,False,,<span class='variable_word name'>{{}}</span> is feeling great and not sick anymore,no,NA,text,she is feeling great and not sick anymore,28.942,768.0,1366.0,NA,NA,0.0,1520988751368,1520991000537,40.75985,2,nRpC,14
14,Chrome,Windows,.,.,35,Yes,"<span class='history'><span class='variable_word negated_nR'>{{}}</span>.<br/></span>Because <span class='variable_word negated_nR'>{{}}</span>, ","Because Ash is able to walk around, did not go to work and go out to other places with ease.Because Because Ash is able to walk around, did not go to work and go out to other places with ease, ",Good study!,2,1,1.50,Female,False,"It was interesting, fun and easy to to do.",NA,True,english,NA,<span class='variable_word name'>{{}}</span> did not have no flu at all,False,,<span class='variable_word name'>{{}}</span> has no flu at all,no,NA,text,he has no flu at all,86.965,768.0,1366.0,NA,NA,0.0,1520988751368,1520991087955,40.75985,2,nRnR,14
15,Chrome,Windows,.,.,35,Yes,"<span class='history'><span class='variable_word negated_pC'>{{}}</span>.<br/></span>Because <span class='variable_word negated_pC'>{{}}</span>, ","Jess isn't sick and feeling feverish and achy.Because Jess isn't sick and feeling feverish and achy, ",Good study!,2,1,1.50,Female,False,"It was interesting, fun and easy to to do.",NA,True,english,NA,<span class='variable_word name'>{{}}</span> cannot go out with friends to the movies.,False,,<span class='variable_word name'>{{}}</span> can go out with friends to the movies.,no,NA,text,she can go out with friends to the movies.,23.762,768.0,1366.0,NA,NA,0.0,1520988751368,1520991112134,40.75985,2,pCnR,14
16,Chrome,Windows,.,.,35,Yes,<span class='history'><span class='variable_word name'>{{}}</span> does not have <span class='variable_word D'>{{}}</span>.<br/><span class='variable_word positive_nC'>{{}}</span>.<br/></span><span class='variable_word positive_nC'>{{}}</span> because ,Chris does not have the flu.Chris is not experiencing flu like symptoms.Chris is not experiencing flu like symptoms because ,Good study!,2,1,1.50,Female,False,"It was interesting, fun and easy to to do.",NA,True,english,NA,<span class='variable_word name'>{{}}</span> isn't finally over the flu,False,,<span class='variable_word name'>{{}}</span> is finally over the flu,no,NA,text,he is finally over the flu,21.548,768.0,1366.0,NA,NA,0.0,1520988751368,1520991134168,40.75985,2,nCpC,14
0,Chrome,Windows,.,.,53,Yes,<span class='variable_word name'>{{}}</span> has an illness. <span class='variable_word HHe'>{{}}</span> has ,Madison has an illness. He has ,no,2,1,1.50,Male,False,"It was okay, it was interesting too.",NA,True,English,NA,Lung did not cancer,False,NA,Lung cancer,no,NA,text,lung cancer,5.51,900.0,1600.0,NA,NA,0.0,1521040744649,1521040856555,5.947883333333333,0,D,15
1,Chrome,Windows,.,.,53,Yes,<span class='variable_word name'>{{}}</span> does not have <span class='variable_word D'>{{}}</span> because ,Taylor does not have lung cancer because ,no,2,1,1.50,Male,False,"It was okay, it was interesting too.",NA,True,English,NA,<span class='variable_word name'>{{}}</span> is  ill,False,,<span class='variable_word name'>{{}}</span> is not ill,no,NA,text,he is not ill,21.9,900.0,1600.0,NA,NA,0.0,1521040744649,1521040878931,5.947883333333333,1,nC,15
2,Chrome,Windows,.,.,53,Yes,"Because <span class='variable_word name'>{{}}</span> has <span class='variable_word D'>{{}}</span>, ","Because Chris has lung cancer, ",no,2,1,1.50,Male,False,"It was okay, it was interesting too.",NA,True,English,NA,<span class='variable_word name'>{{}}</span> isn't ill,False,,<span class='variable_word name'>{{}}</span> is ill,no,NA,text,he is ill,4.496,900.0,1600.0,NA,NA,0.0,1521040744649,1521040883906,5.947883333333333,1,pR,15
3,Chrome,Windows,.,.,53,Yes,<span class='variable_word name'>{{}}</span> has <span class='variable_word D'>{{}}</span> because ,Robin has lung cancer because ,no,2,1,1.50,Male,False,"It was okay, it was interesting too.",NA,True,English,NA,<span class='variable_word name'>{{}}</span> did not smoke,False,,<span class='variable_word name'>{{}}</span> smokes,no,NA,text,she smokes,4.763,900.0,1600.0,NA,NA,0.0,1521040744649,1521040888921,5.947883333333333,1,pC,15
4,Chrome,Windows,.,.,53,Yes,"Because <span class='variable_word name'>{{}}</span> does not have <span class='variable_word D'>{{}}</span>, ","Because Jamie does not have lung cancer, ",no,2,1,1.50,Male,False,"It was okay, it was interesting too.",NA,True,English,NA,<span class='variable_word name'>{{}}</span> is  ill,False,,<span class='variable_word name'>{{}}</span> is not ill,no,NA,text,he is not ill,4.882,900.0,1600.0,NA,NA,0.0,1521040744649,1521040894050,5.947883333333333,1,nR,15
5,Chrome,Windows,.,.,53,Yes,<span class='history'><span class='variable_word name'>{{}}</span> does not have <span class='variable_word D'>{{}}</span>.<br/><span class='variable_word negated_pC'>{{}}</span>.<br/></span><span class='variable_word negated_pC'>{{}}</span> because ,Jess does not have lung cancer.Jess did not smoke.Jess did not smoke because ,no,2,1,1.50,Male,False,"It was okay, it was interesting too.",NA,True,English,NA,<span class='variable_word name'>{{}}</span> did  want to get cancer,False,,<span class='variable_word name'>{{}}</span> did not want to get cancer,no,NA,text,he did not want to get cancer,9.27,900.0,1600.0,NA,NA,0.0,1521040744649,1521040903601,5.947883333333333,2,pCnC,15
6,Chrome,Windows,.,.,53,Yes,<span class='history'><span class='variable_word name'>{{}}</span> does not have <span class='variable_word D'>{{}}</span>.<br/><span class='variable_word positive_nC'>{{}}</span>.<br/></span><span class='variable_word positive_nC'>{{}}</span> because ,Eli does not have lung cancer.Eli is not ill.Eli is not ill because ,no,2,1,1.50,Male,False,"It was okay, it was interesting too.",NA,True,English,NA,<span class='variable_word name'>{{}}</span> does  have cancer,False,,<span class='variable_word name'>{{}}</span> does not have cancer,no,NA,text,she does not have cancer,8.161,900.0,1600.0,NA,NA,0.0,1521040744649,1521040912265,5.947883333333333,2,nCpC,15
7,Chrome,Windows,.,.,53,Yes,"<span class='history'><span class='variable_word positive_nC'>{{}}</span>.<br/></span>Because <span class='variable_word positive_nC'>{{}}</span>, ","Drew is not ill.Because Drew is not ill, ",no,2,1,1.50,Male,False,"It was okay, it was interesting too.",NA,True,English,NA,<span class='variable_word name'>{{}}</span> isn't healthy,False,,<span class='variable_word name'>{{}}</span> is healthy,no,NA,text,he is healthy,4.42,900.0,1600.0,NA,NA,0.0,1521040744649,1521040917168,5.947883333333333,2,nCpR,15
8,Chrome,Windows,.,.,53,Yes,<span class='history'><span class='variable_word positive_nR'>{{}}</span>.<br/></span><span class='variable_word positive_nR'>{{}}</span> because ,Nat is not ill.Nat is not ill because ,no,2,1,1.50,Male,False,"It was okay, it was interesting too.",NA,True,English,NA,<span class='variable_word name'>{{}}</span> isn't healthy,False,,<span class='variable_word name'>{{}}</span> is healthy,no,NA,text,he is healthy,5.012,900.0,1600.0,NA,NA,0.0,1521040744649,1521040922449,5.947883333333333,2,nRpC,15
9,Chrome,Windows,.,.,53,Yes,"<span class='history'><span class='variable_word name'>{{}}</span> does not have <span class='variable_word D'>{{}}</span>.<br/><span class='variable_word negated_pR'>{{}}</span>.<br/></span>Because <span class='variable_word negated_pR'>{{}}</span>, ","Pat does not have lung cancer.Pat isn't ill.Because Pat isn't ill, ",no,2,1,1.50,Male,False,"It was okay, it was interesting too.",NA,True,English,NA,<span class='variable_word name'>{{}}</span> does  have cancer,False,,<span class='variable_word name'>{{}}</span> does not have cancer,no,NA,text,he does not have cancer,7.635,900.0,1600.0,NA,NA,0.0,1521040744649,1521040930681,5.947883333333333,2,pRnR,15
10,Chrome,Windows,.,.,53,Yes,"<span class='history'><span class='variable_word name'>{{}}</span> does not have <span class='variable_word D'>{{}}</span>.<br/><span class='variable_word positive_nR'>{{}}</span>.<br/></span>Because <span class='variable_word positive_nR'>{{}}</span>, ","Sal does not have lung cancer.Sal is not ill.Because Sal is not ill, ",no,2,1,1.50,Male,False,"It was okay, it was interesting too.",NA,True,English,NA,<span class='variable_word name'>{{}}</span> does  have cancer,False,,<span class='variable_word name'>{{}}</span> does not have cancer,no,NA,text,he does not have cancer,15.598,900.0,1600.0,NA,NA,0.0,1521040744649,1521040946777,5.947883333333333,2,nRpR,15
11,Chrome,Windows,.,.,53,Yes,"<span class='history'><span class='variable_word negated_nR'>{{}}</span>.<br/></span>Because <span class='variable_word negated_nR'>{{}}</span>, ","Jordan is  ill.Because Jordan is  ill, ",no,2,1,1.50,Male,False,"It was okay, it was interesting too.",NA,True,English,NA,<span class='variable_word name'>{{}}</span> does  feel good,False,,<span class='variable_word name'>{{}}</span> does not feel good,no,NA,text,she does not feel good,58.85,900.0,1600.0,NA,NA,0.0,1521040744649,1521041006113,5.947883333333333,2,nRnR,15
12,Chrome,Windows,.,.,53,Yes,"<span class='history'><span class='variable_word negated_pC'>{{}}</span>.<br/></span>Because <span class='variable_word negated_pC'>{{}}</span>, ","Jo did not smoke.Because Jo did not smoke, ",no,2,1,1.50,Male,False,"It was okay, it was interesting too.",NA,True,English,NA,<span class='variable_word name'>{{}}</span> does  have lung cancer,False,,<span class='variable_word name'>{{}}</span> does not have lung cancer,no,NA,text,she does not have lung cancer,6.513,900.0,1600.0,NA,NA,0.0,1521040744649,1521041013115,5.947883333333333,2,pCnR,15
13,Chrome,Windows,.,.,53,Yes,<span class='history'><span class='variable_word negated_pR'>{{}}</span>.<br/></span><span class='variable_word negated_pR'>{{}}</span> because ,Casey isn't ill.Casey isn't ill because ,no,2,1,1.50,Male,False,"It was okay, it was interesting too.",NA,True,English,NA,<span class='variable_word name'>{{}}</span> does smoke,False,,<span class='variable_word name'>{{}}</span> doesn't smoke,no,NA,text,she doesn't smoke,4.684,900.0,1600.0,NA,NA,0.0,1521040744649,1521041018321,5.947883333333333,2,pRnC,15
14,Chrome,Windows,.,.,53,Yes,<span class='history'><span class='variable_word name'>{{}}</span> has <span class='variable_word D'>{{}}</span>.<br/><span class='variable_word negated_nC'>{{}}</span>.<br/></span><span class='variable_word negated_nC'>{{}}</span> because ,Ash has lung cancer.Ash is  ill.Ash is  ill because ,no,2,1,1.50,Male,False,"It was okay, it was interesting too.",NA,True,English,NA,<span class='variable_word name'>{{}}</span> did not have lung cancer,False,,<span class='variable_word name'>{{}}</span> has lung cancer,no,NA,text,he has lung cancer,6.279,900.0,1600.0,NA,NA,0.0,1521040744649,1521041024865,5.947883333333333,2,nCnC,15
15,Chrome,Windows,.,.,53,Yes,<span class='history'><span class='variable_word name'>{{}}</span> has <span class='variable_word D'>{{}}</span>.<br/><span class='variable_word positive_pC'>{{}}</span>.<br/></span><span class='variable_word positive_pC'>{{}}</span> because ,Alex has lung cancer.Alex smokes.Alex smokes because ,no,2,1,1.50,Male,False,"It was okay, it was interesting too.",NA,True,English,NA,<span class='variable_word name'>{{}}</span>'s friends did not do,False,,<span class='variable_word name'>{{}}</span>'s friends do,no,NA,text,his friends do,27.214,900.0,1600.0,NA,NA,0.0,1521040744649,1521041052641,5.947883333333333,2,pCpC,15
16,Chrome,Windows,.,.,53,Yes,"<span class='history'><span class='variable_word name'>{{}}</span> has <span class='variable_word D'>{{}}</span>.<br/><span class='variable_word positive_pR'>{{}}</span>.<br/></span>Because <span class='variable_word positive_pR'>{{}}</span>, ","Tracy has lung cancer.Tracy is ill.Because Tracy is ill, ",no,2,1,1.50,Male,False,"It was okay, it was interesting too.",NA,True,English,NA,<span class='variable_word name'>{{}}</span> does  feel good,False,,<span class='variable_word name'>{{}}</span> does not feel good,no,NA,text,she does not feel good,5.794,900.0,1600.0,NA,NA,0.0,1521040744649,1521041058945,5.947883333333333,2,pRpR,15
0,Chrome,Windows,.,.,26,Yes,<span class='variable_word name'>{{}}</span> has an illness. <span class='variable_word HHe'>{{}}</span> has ,Ash has an illness. He has ,,2,1,1.50,Male,False,I do not know,NA,True,english,NA,The did not flu,False,NA,The flu,no,NA,text,the flu,4.164,1080.0,1920.0,NA,NA,0.0,1521033483928,1521033517997,8.0241,0,D,16
1,Chrome,Windows,.,.,26,Yes,<span class='variable_word name'>{{}}</span> does not have <span class='variable_word D'>{{}}</span> because ,Avery does not have the flu because ,,2,1,1.50,Male,False,I do not know,NA,True,english,NA,<span class='variable_word name'>{{}}</span> is  sick,False,,<span class='variable_word name'>{{}}</span> is not sick,no,NA,text,she is not sick,18.408,1080.0,1920.0,NA,NA,0.0,1521033483928,1521033536680,8.0241,1,nC,16
2,Chrome,Windows,.,.,26,Yes,<span class='variable_word name'>{{}}</span> has <span class='variable_word D'>{{}}</span> because ,Madison has the flu because ,,2,1,1.50,Male,False,I do not know,NA,True,english,NA,<span class='variable_word name'>{{}}</span> isn't feeling sick,False,,<span class='variable_word name'>{{}}</span> is feeling sick,no,NA,text,she is feeling sick,83.114,1080.0,1920.0,NA,NA,0.0,1521033483928,1521033620120,8.0241,1,pC,16
3,Chrome,Windows,.,.,26,Yes,"Because <span class='variable_word name'>{{}}</span> has <span class='variable_word D'>{{}}</span>, ","Because Tracy has the flu, ",,2,1,1.50,Male,False,I do not know,NA,True,english,NA,<span class='variable_word name'>{{}}</span> did not have a fever,False,,<span class='variable_word name'>{{}}</span> has a fever,no,NA,text,she has a fever,225.256,1080.0,1920.0,NA,NA,0.0,1521033483928,1521033845702,8.0241,1,pR,16
4,Chrome,Windows,.,.,26,Yes,"Because <span class='variable_word name'>{{}}</span> does not have <span class='variable_word D'>{{}}</span>, ","Because Jess does not have the flu, ",,2,1,1.50,Male,False,I do not know,NA,True,english,NA,<span class='variable_word name'>{{}}</span> does  have a fever,False,,<span class='variable_word name'>{{}}</span> does not have a fever,no,NA,text,she does not have a fever,5.78,1080.0,1920.0,NA,NA,0.0,1521033483928,1521033851836,8.0241,1,nR,16
5,Chrome,Windows,.,.,26,Yes,<span class='history'><span class='variable_word negated_pR'>{{}}</span>.<br/></span><span class='variable_word negated_pR'>{{}}</span> because ,Sam did not have a fever.Sam did not have a fever because ,,2,1,1.50,Male,False,I do not know,NA,True,english,NA,<span class='variable_word name'>{{}}</span> is  sick,False,,<span class='variable_word name'>{{}}</span> is not sick,no,NA,text,he is not sick,6.548,1080.0,1920.0,NA,NA,0.0,1521033483928,1521033858658,8.0241,2,pRnC,16
6,Chrome,Windows,.,.,26,Yes,<span class='history'><span class='variable_word name'>{{}}</span> has <span class='variable_word D'>{{}}</span>.<br/><span class='variable_word positive_pC'>{{}}</span>.<br/></span><span class='variable_word positive_pC'>{{}}</span> because ,Taylor has the flu.Taylor is feeling sick.Taylor is feeling sick because ,,2,1,1.50,Male,False,I do not know,NA,True,english,NA,<span class='variable_word name'>{{}}</span> did not have the flu,False,,<span class='variable_word name'>{{}}</span> has the flu,no,NA,text,she has the flu,4.074,1080.0,1920.0,NA,NA,0.0,1521033483928,1521033863028,8.0241,2,pCpC,16
7,Chrome,Windows,.,.,26,Yes,<span class='history'><span class='variable_word name'>{{}}</span> has <span class='variable_word D'>{{}}</span>.<br/><span class='variable_word negated_nC'>{{}}</span>.<br/></span><span class='variable_word negated_nC'>{{}}</span> because ,Jo has the flu.Jo is  sick.Jo is  sick because ,,2,1,1.50,Male,False,I do not know,NA,True,english,NA,<span class='variable_word name'>{{}}</span> did not have the flu,False,,<span class='variable_word name'>{{}}</span> has the flu,no,NA,text,she has the flu,3.829,1080.0,1920.0,NA,NA,0.0,1521033483928,1521033867112,8.0241,2,nCnC,16
8,Chrome,Windows,.,.,26,Yes,<span class='history'><span class='variable_word positive_nR'>{{}}</span>.<br/></span><span class='variable_word positive_nR'>{{}}</span> because ,Alex does not have a fever.Alex does not have a fever because ,,2,1,1.50,Male,False,I do not know,NA,True,english,NA,<span class='variable_word name'>{{}}</span> does  have the flu,False,,<span class='variable_word name'>{{}}</span> does not have the flu,no,NA,text,he does not have the flu,5.136,1080.0,1920.0,NA,NA,0.0,1521033483928,1521033872471,8.0241,2,nRpC,16
9,Chrome,Windows,.,.,26,Yes,"<span class='history'><span class='variable_word negated_nR'>{{}}</span>.<br/></span>Because <span class='variable_word negated_nR'>{{}}</span>, ","Eli does  have a fever.Because Eli does  have a fever, ",,2,1,1.50,Male,False,I do not know,NA,True,english,NA,<span class='variable_word name'>{{}}</span> might not have the flu,False,,<span class='variable_word name'>{{}}</span> might have the flu,no,NA,text,he might have the flu,7.874,1080.0,1920.0,NA,NA,0.0,1521033483928,1521033880635,8.0241,2,nRnR,16
10,Chrome,Windows,.,.,26,Yes,"<span class='history'><span class='variable_word positive_nC'>{{}}</span>.<br/></span>Because <span class='variable_word positive_nC'>{{}}</span>, ","Pat is not sick.Because Pat is not sick, ",,2,1,1.50,Male,False,I do not know,NA,True,english,NA,<span class='variable_word name'>{{}}</span> does  have a fever,False,,<span class='variable_word name'>{{}}</span> does not have a fever,no,NA,text,he does not have a fever,6.969,1080.0,1920.0,NA,NA,0.0,1521033483928,1521033887916,8.0241,2,nCpR,16
11,Chrome,Windows,.,.,26,Yes,"<span class='history'><span class='variable_word name'>{{}}</span> does not have <span class='variable_word D'>{{}}</span>.<br/><span class='variable_word positive_nR'>{{}}</span>.<br/></span>Because <span class='variable_word positive_nR'>{{}}</span>, ","Chris does not have the flu.Chris does not have a fever.Because Chris does not have a fever, ",,2,1,1.50,Male,False,I do not know,NA,True,english,NA,<span class='variable_word name'>{{}}</span> isn't healthy,False,,<span class='variable_word name'>{{}}</span> is healthy,no,NA,text,he is healthy,5.023,1080.0,1920.0,NA,NA,0.0,1521033483928,1521033893240,8.0241,2,nRpR,16
12,Chrome,Windows,.,.,26,Yes,"<span class='history'><span class='variable_word name'>{{}}</span> does not have <span class='variable_word D'>{{}}</span>.<br/><span class='variable_word negated_pR'>{{}}</span>.<br/></span>Because <span class='variable_word negated_pR'>{{}}</span>, ","Casey does not have the flu.Casey did not have a fever.Because Casey did not have a fever, ",,2,1,1.50,Male,False,I do not know,NA,True,english,NA,<span class='variable_word name'>{{}}</span> did  have the flu,False,,<span class='variable_word name'>{{}}</span> did not have the flu,no,NA,text,he did not have the flu,5.558,1080.0,1920.0,NA,NA,0.0,1521033483928,1521033899116,8.0241,2,pRnR,16
13,Chrome,Windows,.,.,26,Yes,<span class='history'><span class='variable_word name'>{{}}</span> does not have <span class='variable_word D'>{{}}</span>.<br/><span class='variable_word positive_nC'>{{}}</span>.<br/></span><span class='variable_word positive_nC'>{{}}</span> because ,Jamie does not have the flu.Jamie is not sick.Jamie is not sick because ,,2,1,1.50,Male,False,I do not know,NA,True,english,NA,Because <span class='variable_word name'>{{}}</span> did not hsa no fever,False,,Because <span class='variable_word name'>{{}}</span> hsa no fever,no,NA,text,because she hsa no fever,6.396,1080.0,1920.0,NA,NA,0.0,1521033483928,1521033905846,8.0241,2,nCpC,16
14,Chrome,Windows,.,.,26,Yes,<span class='history'><span class='variable_word name'>{{}}</span> does not have <span class='variable_word D'>{{}}</span>.<br/><span class='variable_word negated_pC'>{{}}</span>.<br/></span><span class='variable_word negated_pC'>{{}}</span> because ,Robin does not have the flu.Robin isn't feeling sick.Robin isn't feeling sick because ,,2,1,1.50,Male,False,I do not know,NA,True,english,NA,<span class='variable_word name'>{{}}</span> does  have a fever,False,,<span class='variable_word name'>{{}}</span> does not have a fever,no,NA,text,she does not have a fever,7.275,1080.0,1920.0,NA,NA,0.0,1521033483928,1521033913458,8.0241,2,pCnC,16
15,Chrome,Windows,.,.,26,Yes,"<span class='history'><span class='variable_word name'>{{}}</span> has <span class='variable_word D'>{{}}</span>.<br/><span class='variable_word positive_pR'>{{}}</span>.<br/></span>Because <span class='variable_word positive_pR'>{{}}</span>, ","Drew has the flu.Drew has a fever.Because Drew has a fever, ",,2,1,1.50,Male,False,I do not know,NA,True,english,NA,<span class='variable_word name'>{{}}</span> did not have the flu,False,,<span class='variable_word name'>{{}}</span> has the flu,no,NA,text,he has the flu,6.321,1080.0,1920.0,NA,NA,0.0,1521033483928,1521033920096,8.0241,2,pRpR,16
16,Chrome,Windows,.,.,26,Yes,"<span class='history'><span class='variable_word negated_pC'>{{}}</span>.<br/></span>Because <span class='variable_word negated_pC'>{{}}</span>, ","Sal isn't feeling sick.Because Sal isn't feeling sick, ",,2,1,1.50,Male,False,I do not know,NA,True,english,NA,<span class='variable_word name'>{{}}</span> does  have the flu,False,,<span class='variable_word name'>{{}}</span> does not have the flu,no,NA,text,he does not have the flu,20.599,1080.0,1920.0,NA,NA,0.0,1521033483928,1521033941008,8.0241,2,pCnR,16
0,Chrome,Windows,.,.,33,Yes,<span class='variable_word name'>{{}}</span> has an illness. <span class='variable_word HHe'>{{}}</span> has ,Pat has an illness. He has ,Please feel free to contact me if you need help on future HITS! My email is jessica.marie.graham@gmail.com,2,1,1.50,Female,False,I thought this was really fun!,NA,True,English,NA,Heart did not disease,False,NA,Heart disease,No,NA,text,heart disease,3.411,810.0,1440.0,NA,NA,0.0,1521031611440,1521031641889,4.344766666666667,0,D,17
1,Chrome,Windows,.,.,33,Yes,"Because <span class='variable_word name'>{{}}</span> has <span class='variable_word D'>{{}}</span>, ","Because Jess has heart disease, ",Please feel free to contact me if you need help on future HITS! My email is jessica.marie.graham@gmail.com,2,1,1.50,Female,False,I thought this was really fun!,NA,True,English,NA,<span class='variable_word name'>{{}}</span> did not have an illness,False,,<span class='variable_word name'>{{}}</span> has an illness,No,NA,text,she has an illness,11.117,810.0,1440.0,NA,NA,0.0,1521031611440,1521031653559,4.344766666666667,1,pR,17
2,Chrome,Windows,.,.,33,Yes,<span class='variable_word name'>{{}}</span> has <span class='variable_word D'>{{}}</span> because ,Jo has heart disease because ,Please feel free to contact me if you need help on future HITS! My email is jessica.marie.graham@gmail.com,2,1,1.50,Female,False,I thought this was really fun!,NA,True,English,NA,<span class='variable_word name'>{{}}</span> did not have an illness,False,,<span class='variable_word name'>{{}}</span> has an illness,No,NA,text,she has an illness,5.776,810.0,1440.0,NA,NA,0.0,1521031611440,1521031659823,4.344766666666667,1,pC,17
3,Chrome,Windows,.,.,33,Yes,"Because <span class='variable_word name'>{{}}</span> does not have <span class='variable_word D'>{{}}</span>, ","Because Taylor does not have heart disease, ",Please feel free to contact me if you need help on future HITS! My email is jessica.marie.graham@gmail.com,2,1,1.50,Female,False,I thought this was really fun!,NA,True,English,NA,<span class='variable_word name'>{{}}</span> does have that particular illness,False,,<span class='variable_word name'>{{}}</span> doesn't have that particular illness,No,NA,text,he doesn't have that particular illness,7.913,810.0,1440.0,NA,NA,0.0,1521031611440,1521031668207,4.344766666666667,1,nR,17
4,Chrome,Windows,.,.,33,Yes,<span class='variable_word name'>{{}}</span> does not have <span class='variable_word D'>{{}}</span> because ,Eli does not have heart disease because ,Please feel free to contact me if you need help on future HITS! My email is jessica.marie.graham@gmail.com,2,1,1.50,Female,False,I thought this was really fun!,NA,True,English,NA,<span class='variable_word name'>{{}}</span> did not eat a healthy diet,False,,<span class='variable_word name'>{{}}</span> eats a healthy diet,No,NA,text,he eats a healthy diet,13.327,810.0,1440.0,NA,NA,0.0,1521031611440,1521031681993,4.344766666666667,1,nC,17
5,Chrome,Windows,.,.,33,Yes,<span class='history'><span class='variable_word name'>{{}}</span> does not have <span class='variable_word D'>{{}}</span>.<br/><span class='variable_word negated_pC'>{{}}</span>.<br/></span><span class='variable_word negated_pC'>{{}}</span> because ,Drew does not have heart disease.Drew did not have an illness.Drew did not have an illness because ,Please feel free to contact me if you need help on future HITS! My email is jessica.marie.graham@gmail.com,2,1,1.50,Female,False,I thought this was really fun!,NA,True,English,NA,<span class='variable_word name'>{{}}</span> did have heart disease,False,,<span class='variable_word name'>{{}}</span> didn't have heart disease,No,NA,text,he didn't have heart disease,14.383,810.0,1440.0,NA,NA,0.0,1521031611440,1521031696869,4.344766666666667,2,pCnC,17
6,Chrome,Windows,.,.,33,Yes,"<span class='history'><span class='variable_word name'>{{}}</span> does not have <span class='variable_word D'>{{}}</span>.<br/><span class='variable_word negated_pR'>{{}}</span>.<br/></span>Because <span class='variable_word negated_pR'>{{}}</span>, ","Avery does not have heart disease.Avery did not have an illness.Because Avery did not have an illness, ",Please feel free to contact me if you need help on future HITS! My email is jessica.marie.graham@gmail.com,2,1,1.50,Female,False,I thought this was really fun!,NA,True,English,NA,<span class='variable_word name'>{{}}</span> did  have heart disease,False,,<span class='variable_word name'>{{}}</span> did not have heart disease,No,NA,text,he did not have heart disease,11.545,810.0,1440.0,NA,NA,0.0,1521031611440,1521031709227,4.344766666666667,2,pRnR,17
7,Chrome,Windows,.,.,33,Yes,<span class='history'><span class='variable_word negated_pR'>{{}}</span>.<br/></span><span class='variable_word negated_pR'>{{}}</span> because ,Casey did not have an illness.Casey did not have an illness because ,Please feel free to contact me if you need help on future HITS! My email is jessica.marie.graham@gmail.com,2,1,1.50,Female,False,I thought this was really fun!,NA,True,English,NA,<span class='variable_word name'>{{}}</span> did  have heart disease,False,,<span class='variable_word name'>{{}}</span> did not have heart disease,No,NA,text,he did not have heart disease,8.647,810.0,1440.0,NA,NA,0.0,1521031611440,1521031718350,4.344766666666667,2,pRnC,17
8,Chrome,Windows,.,.,33,Yes,<span class='history'><span class='variable_word positive_nR'>{{}}</span>.<br/></span><span class='variable_word positive_nR'>{{}}</span> because ,Alex doesn't have that particular illness.Alex doesn't have that particular illness because ,Please feel free to contact me if you need help on future HITS! My email is jessica.marie.graham@gmail.com,2,1,1.50,Female,False,I thought this was really fun!,NA,True,English,NA,<span class='variable_word name'>{{}}</span> does have heart disease,False,,<span class='variable_word name'>{{}}</span> doesn't have heart disease,No,NA,text,he doesn't have heart disease,11.394,810.0,1440.0,NA,NA,0.0,1521031611440,1521031730228,4.344766666666667,2,nRpC,17
9,Chrome,Windows,.,.,33,Yes,<span class='history'><span class='variable_word name'>{{}}</span> does not have <span class='variable_word D'>{{}}</span>.<br/><span class='variable_word positive_nC'>{{}}</span>.<br/></span><span class='variable_word positive_nC'>{{}}</span> because ,Nat does not have heart disease.Nat eats a healthy diet.Nat eats a healthy diet because ,Please feel free to contact me if you need help on future HITS! My email is jessica.marie.graham@gmail.com,2,1,1.50,Female,False,I thought this was really fun!,NA,True,English,NA,<span class='variable_word name'>{{}}</span> did not want to reduce <span class='variable_word his'>{{}}</span> risk of heart disease,False,,<span class='variable_word name'>{{}}</span> wants to reduce <span class='variable_word his'>{{}}</span> risk of heart disease,No,NA,text,he wants to reduce his risk of heart disease,16.583,810.0,1440.0,NA,NA,0.0,1521031611440,1521031747248,4.344766666666667,2,nCpC,17
10,Chrome,Windows,.,.,33,Yes,<span class='history'><span class='variable_word name'>{{}}</span> has <span class='variable_word D'>{{}}</span>.<br/><span class='variable_word positive_pC'>{{}}</span>.<br/></span><span class='variable_word positive_pC'>{{}}</span> because ,Ash has heart disease.Ash has an illness.Ash has an illness because ,Please feel free to contact me if you need help on future HITS! My email is jessica.marie.graham@gmail.com,2,1,1.50,Female,False,I thought this was really fun!,NA,True,English,NA,<span class='variable_word name'>{{}}</span> did not have heart disease,False,,<span class='variable_word name'>{{}}</span> has heart disease,No,NA,text,he has heart disease,7.168,810.0,1440.0,NA,NA,0.0,1521031611440,1521031754878,4.344766666666667,2,pCpC,17
